Rank;Probability;Label;SOC code;Occupation
52.;0.01;;11-9033;Education administrators, postsecondary
53.;0.011;;17-2141;Mechanical engineers
54.;0.012;;29-1051;Pharmacists
55.;0.012;;13-1081;Logisticians
56.;0.012;;19-1022;Microbiologists
57.;0.012;;19-3032;Industrial-organizational psychologists
58.;0.013;;27-2022;Coaches and scouts
59.;0.013;;11-2022;Sales managers
60.;0.014;;19-2043;Hydrologists
61.;0.014;;11-2021;Marketing managers
62.;0.014;0;21-1013;Marriage and family therapists
63.;0.014;;17-2199;Engineers, all other
64.;0.014;;13-1151;Training and development specialists
65.;0.014;;43-1011;First-line supervisors of office and administrative support workers
66.;0.015;;19-1029;Biological scientists, all other
67.;0.015;;11-2031;Public relations and fundraising managers
68.;0.015;;27-1014;Multimedia artists and animators
69.;0.015;;15-1111;Computer and information research scientists
70.;0.015;0;11-1011;Chief executives
71.;0.015;0;11-9031;Education administrators, preschool and childcare center/program
72.;0.015;;27-2041;Music directors and composers
73.;0.016;;51-1011;First-line supervisors of production and operating workers
74.;0.016;;41-3031;Securities, commodities, and financial services sales agents
75.;0.016;;19-1031;Conservation scientists
76.;0.016;;25-2053;Special education teachers, middle school
77.;0.017;;17-2041;Chemical engineers
78.;0.017;;11-9041;Architectural and engineering managers
79.;0.017;;17-2011;Aerospace engineers
80.;0.018;;11-9121;Natural sciences managers
81.;0.018;;17-2081;Environmental engineers
82.;0.018;;17-1011;Architects, except landscape and naval
83.;0.018;;31-2021;Physical therapist assistants
84.;0.019;0;17-2051;Civil engineers
85.;0.02;;29-1199;Health diagnosing and treating practitioners, all other
86.;0.021;;19-1013;Soil and plant scientists
87.;0.021;;19-2032;Materials scientists
88.;0.021;;17-2131;Materials engineers
89.;0.021;0;27-1022;Fashion designers
90.;0.021;;29-1123;Physical therapists
91.;0.021;;27-4021;Photographers
92.;0.022;;27-2012;Producers and directors
93.;0.022;;27-1025;Interior designers
94.;0.023;;29-1023;Orthodontists
95.;0.023;;27-1011;Art directors
96.;0.025;;33-1011;First-line supervisors of oorrectional officers
97.;0.025;;21-2021;Directors, religious activities and education
98.;0.025;;17-2072;Electronics engineers, except computer
99.;0.027;;19-1021;Biochemists and biophysicists
100.;0.027;;29-1011;Chiropractors
101.;0.028;;31-2011;Occupational therapy assistants
102.;0.028;;21-1021;Child, family, and school social workers
103.;0.028;;17-2111;Health and safety engineers, except mining safety engineers and inspectors
104.;0.029;;17-2112;Industrial engineers
105.;0.029;;53-1031;First-line supervisors of transportation and material-moving machine and vehicle operators
106.;0.029;;29-2056;Veterinary technologists and technicians
107.;0.03;;11-3051;Industrial production managers
108.;0.03;;17-3026;Industrial engineering technicians
109.;0.03;;15-1142;Network and computer systems administrators
110.;0.03;;15-1141;Database administrators
111.;0.03;;11-3061;Purchasing managers
112.;0.032;;25-1000;Postsecondary teachers
113.;0.033;;19-2041;Environmental scientists and specialists, including health
114.;0.033;0;21-1011;Substance abuse and behavioural disorder counselors
115.;0.035;0;23-1011;Lawyers
116.;0.035;;27-1012;Craft artists
117.;0.035;;15-2031;Operations research analysts
118.;0.035;;11-3021;Computer and information systems managers
119.;0.037;;27-1021;Commercial and industrial designers
120.;0.037;;17-2031;Biomedical engineers
121.;0.037;0;13-1121;Meeting, convention, and event planners
122.;0.038;;29-1131;Veterinarians
123.;0.038;;27-3043;Writers and authors
124.;0.039;;11-2011;Advertising and promotions managers
125.;0.039;;19-3094;Political scientists
126.;0.04;;13-2071;Credit counselors
127.;0.04;;19-3099;Social scientists and related workers, all other
128.;0.041;;19-2011;Astronomers
129.;0.041;;53-5031;Ship engineers
130.;0.042;;15-1132;Software developers, applications
131.;0.042;;27-1013;Fine artists, including painters, sculptors, and illustrators
132.;0.043;;29-2053;Psychiatric technicians
133.;0.045;0;17-1012;Landscape architects
134.;0.045;;21-1091;Health educators
135.;0.047;;15-2021;Mathematicians
136.;0.047;;27-1023;Floral designers
137.;0.047;;11-9013;Farmers, ranchers, and other agricultural managers
138.;0.048;;33-2022;Forest fire inspectors and prevention specialists
139.;0.049;;29-2041;Emergency medical technicians and paramedics
140.;0.055;;27-3041;Editors
141.;0.055;;29-1024;Prosthodontists
142.;0.055;0;29-9799;Healthcare practitioners and technical workers, all other
143.;0.057;;39-7012;Travel guides
144.;0.058;;29-2061;Licensed practical and licensed vocational nurses
145.;0.059;;19-3041;Sociologists
146.;0.06;;23-1022;Arbitrators, mediators, and conciliators
147.;0.061;;19-1011;Animal scientists
148.;0.064;;39-9041;Residential advisors
149.;0.066;;53-1011;Aircraft cargo handling supervisors
150.;0.066;;29-1126;Respiratory therapists
151.;0.067;;27-3021;Broadcast news analysts
152.;0.069;;11-3031;Financial managers
153.;0.07;;17-2161;Nuclear engineers
154.;0.071;;11-9021;Construction managers
155.;0.074;;27-2042;Musicians and singers
156.;0.075;;41-1012;First-line supervisors of non-retail sales workers
157.;0.076;;39-1021;First-line supervisors of personal service workers
158.;0.077;;19-1012;Food scientists and technologists
159.;0.08;0;13-1041;Compliance officers
160.;0.08;;33-3031;Fish and game wardens
161.;0.082;;27-1024;Graphic designers
162.;0.083;;11-9051;Food service managers
163.;0.084;0;39-9011;Childcare workers
164.;0.085;;39-9031;Fitness trainers and aerobics instructors
165.;0.091;;11-9071;Gaming managers
166.;0.097;;49-9051;Electrical power-line installers and repairers
167.;0.098;;33-3051;Police and sheriff's patrol officers
168.;0.099;;41-3041;Travel agents
169.;0.1;0;35-1011;Chefs and head cooks
170.;0.1;;39-2011;Animal trainers
171.;0.1;;27-3011;Radio and television announcers
172.;0.1;0;17-2071;Electrical engineers
173.;0.1;;19-2031;Chemists
174.;0.1;;29-2054;Respiratory therapy technicians
175.;0.1;0;19-2012;Physicists
176.;0.11;0;39-5012;Hairdressers, hairstylists, and cosmetologists
177.;0.11;;27-3022;Reporters and correspondents
178.;0.11;;53-2021;Air traffic controllers
179.;0.13;;27-2031;Dancers
180.;0.13;;29-2033;Nuclear medicine technologists
181.;0.13;;15-1133;Software developers, systems software
182.;0.13;;13-1111;Management analysts
183.;0.13;;29-2051;Dietetic technicians
184.;0.13;;19-3051;Urban and regional planners
185.;0.13;;21-1093;Social and human service assistants
186.;0.13;;25-3021;Self-enrichment education teachers
187.;0.13;;27-4014;Sound engineering technicians
188.;0.14;;29-1041;Optometrists
189.;0.14;;17-2151;Mining and geological engineers, including mining safety engineers
190.;0.14;;29-1071;Physician assistants
191.;0.15;;25-2012;Kindergarten teachers, except special education
192.;0.15;;47-2111;Electricians
193.;0.16;;17-2171;Petroleum engineers
194.;0.16;;43-9031;Desktop publishers
195.;0.16;;11-1021;General and operations managers
196.;0.17;;29-9011;Occupational health and safety specialists
197.;0.17;;33-2011;Firefighters
198.;0.17;;13-2061;Financial examiners
199.;0.17;;47-1011;First-line supervisors of construction trades and extraction workers
200.;0.17;;25-2022;Middle school teachers, except special and career/technical education
201.;0.18;;27-3031;Public relations specialists
202.;0.18;;49-9092;Commercial divers
203.;0.18;;49-9095;Manufactured building and mobile home installers
204.;0.18;;53-2011;Airline pilots, copilots, and flight engineers
205.;0.19;;25-3011;Adult basic and secondary education and literacy teachers and instructors
206.;0.2;;19-1041;Epidemiologists
207.;0.2;;39-4831;Funeral service managers, directors, morticians, and undertakers
208.;0.21;;15-1179;Information security analysts, web developers, and computer network architects
209.;0.21;;15-2011;Actuaries
210.;0.21;;33-9011;Animal control workers
211.;0.21;0;39-6012;Concierges
212.;0.22;;15-1799;Computer occupations, all other
213.;0.22;;15-2041;Statisticians
214.;0.22;;17-2061;Computer hardware engineers
215.;0.23;;19-3022;Survey researchers
216.;0.23;;13-1199;Business operations specialists, all other
217.;0.23;;13-2051;Financial analysts
218.;0.23;;29-2037;Radiologic technologists and technicians
219.;0.23;;29-2031;Cardiovascular technologists and technicians
220.;0.24;;13-1011;Agents and business managers of artists, performers, and athletes
221.;0.24;;17-3029;Engineering technicians, except drafters, all other
222.;0.25;;19-3092;Geographers
223.;0.25;;29-9012;Occupational health and safety technicians
224.;0.25;;21-1092;Probation officers and correctional treatment specialists
225.;0.25;;17-3025;Environmental engineering technicians
226.;0.25;;11-9199;Managers, all other
227.;0.25;;53-3011;Ambulance drivers and attendants, except emergency medical technicians
228.;0.25;;41-4011;Sales representatives, wholesale and manufacturing, technical and scientific products
229.;0.26;;25-2023;Career/technical education teachers, middle school
230.;0.27;;53-5021;Captains, mates, and pilots of water vessels
231.;0.27;;31-2012;Occupational therapy aides
232.;0.27;;49-9062;Medical equipment repairers
233.;0.28;;41-1011;First-line supervisors of retail sales workers
234.;0.28;0;27-2021;Athletes and sports competitors
235.;0.28;;39-1011;Gaming supervisors
236.;0.29;;39-5094;Skincare specialists
237.;0.29;;13-1022;Wholesale and retail buyers, except farm products
238.;0.3;;19-4021;Biological technicians
239.;0.3;;31-9092;Medical assistants
240.;0.3;0;19-1023;Zoologists and wildlife biologists
241.;0.3;;35-2013;Cooks, private household
242.;0.31;;13-1078;Human resources, training, and labour relations specialists, all other
243.;0.31;;33-9021;Private detectives and investigators
244.;0.31;;27-4032;Film and video editors
245.;0.33;;13-2099;Financial specialists, all other
246.;0.34;;33-3021;Detectives and criminal investigators
247.;0.34;;29-2055;Surgical technologists
248.;0.34;;29-1124;Radiation therapists
249.;0.35;0;47-2152;Plumbers, pipefitters, and steamfitters
250.;0.35;0;53-2031;Flight attendants
251.;0.35;;29-2032;Diagnostic medical sonographers
252.;0.36;;33-3011;Bailiffs
253.;0.36;;51-4012;Computer numerically controlled machine tool programmers, metal and plastic
254.;0.36;;49-2022;Telecommunications equipment installers and repairers, except line installers
255.;0.37;;51-9051;Furnace, kiln, oven, drier, and kettle operators and tenders
256.;0.37;;53-7061;Cleaners of vehicles and equipment
257.;0.37;;39-4021;Funeral attendants
258.;0.37;;47-5081;Helpers–extraction workers
259.;0.37;;27-2011;Actors
260.;0.37;;53-7111;Mine shuttle car operators
261.;0.38;;49-2095;Electrical and electronics repairers, powerhouse, substation, and relay
262.;0.38;1;17-1022;Surveyors
263.;0.38;;17-3027;Mechanical engineering technicians
264.;0.38;;53-7064;Packers and packagers, hand
265.;0.38;;27-3091;Interpreters and translators
266.;0.39;;31-1011;Home health aides
267.;0.39;;51-6093;Upholsterers
268.;0.39;;47-4021;Elevator installers and repairers
269.;0.39;;43-3041;Gaming cage workers
270.;0.39;;25-9011;Audio-visual and multimedia collections specialists
271.;0.4;0;23-1023;Judges, magistrate judges, and magistrates
272.;0.4;;49-3042;Mobile heavy equipment mechanics, except engines
273.;0.4;;29-2799;Health technologists and technicians, all other
274.;0.41;;45-2041;Graders and sorters, agricultural products
275.;0.41;;51-2041;Structural metal fabricators and fitters
276.;0.41;1;23-1012;Judicial law clerks
277.;0.41;;49-2094;Electrical and electronics repairers, commercial and industrial equipment
278.;0.42;;19-4093;Forest and conservation technicians
279.;0.42;;53-1021;First-line supervisors of helpers, labourers, and material movers, hand
280.;0.43;;39-3093;Locker room, coatroom, and dressing room attendants
281.;0.43;;19-2099;Physical scientists, all other
282.;0.43;0;19-3011;Economists
283.;0.44;;19-3093;Historians
284.;0.45;;51-9082;Medical appliance technicians
285.;0.46;;43-4031;Court, municipal, and license clerks
286.;0.47;;13-1141;Compensation, benefits, and job analysis specialists
287.;0.47;;31-1013;Psychiatric aides
288.;0.47;;29-2012;Medical and clinical laboratory technicians
289.;0.48;;33-2021;Fire inspectors and investigators
290.;0.48;;17-3021;Aerospace engineering and operations technicians
291.;0.48;;27-1026;Merchandise displayers and window trimmers
292.;0.48;;47-5031;Explosives workers, ordnance handling experts, and blasters
293.;0.48;;15-1131;Computer programmers
294.;0.49;;33-9091;Crossing guards
295.;0.49;;17-2021;Agricultural engineers
296.;0.49;;47-5061;Roof bolters, mining
297.;0.49;;49-9052;Telecommunications line installers and repairers
298.;0.49;;43-5031;Police, fire, and ambulance dispatchers
299.;0.5;;53-7033;Loading machine operators, underground mining
300.;0.5;;49-9799;Installation, maintenance, and repair workers, all other
301.;0.5;;23-2091;Court reporters
302.;0.51;;41-9011;Demonstrators and product promoters
303.;0.51;;31-9091;Dental assistants
304.;0.52;;51-6041;Shoe and leather workers and repairers
305.;0.52;;17-3011;Architectural and civil drafters
306.;0.53;;47-5012;Rotary drill operators, oil and gas
307.;0.53;;47-4041;Hazardous materials removal workers
308.;0.54;;39-4011;Embalmers
309.;0.54;;47-5041;Continuous mining machine operators
310.;0.54;;39-1012;Slot supervisors
311.;0.54;;31-9011;Massage therapists
312.;0.54;;41-3011;Advertising sales agents
313.;0.55;;49-3022;Automotive glass installers and repairers
314.;0.55;;53-2012;Commercial pilots
315.;0.55;;43-4051;Customer service representatives
316.;0.55;;27-4011;Audio and video equipment technicians
317.;0.56;;25-9041;Teacher assistants
318.;0.57;;45-1011;First-line supervisors of farming, fishing, and forestry workers
319.;0.57;;19-4031;Chemical technicians
320.;0.57;;47-3015;Helpers–pipelayers, plumbers, pipefitters, and steamfitters
321.;0.57;1;13-1051;Cost estimators
322.;0.57;;33-3052;Transit and railroad police
323.;0.57;;37-1012;First-line supervisors of landscaping, lawn service, and groundskeeping workers
324.;0.58;;13-2052;Personal financial advisors
325.;0.59;;49-9044;Millwrights
326.;0.59;;25-4013;Museum technicians and conservators
327.;0.59;;47-5042;Mine cutting and channeling machine operators
328.;0.59;0;11-3071;Transportation, storage, and distribution managers
329.;0.59;;49-3092;Recreational vehicle service technicians
330.;0.59;;49-3023;Automotive service technicians and mechanics
331.;0.6;;33-3012;Correctional officers and jailers
332.;0.6;;27-4031;Camera operators, television, video, and motion picture
333.;0.6;;51-3023;Slaughterers and meat packers
334.;0.61;;49-2096;Electronic equipment installers and repairers, motor vehicles
335.;0.61;;31-2022;Physical therapist aides
336.;0.61;;39-3092;Costume attendants
337.;0.61;1;13-1161;Market research analysts and marketing specialists
338.;0.61;;43-4181;Reservation and transportation ticket agents and travel clerks
339.;0.61;;51-8031;Water and wastewater treatment plant and system operators
340.;0.61;;19-4099;Life, physical, and social science technicians, all other
341.;0.61;;51-3093;Food cooking machine operators and tenders
342.;0.61;;51-4122;Welding, soldering, and brazing machine setters, operators, and tenders
343.;0.62;1;53-5022;Motorboat operators
344.;0.62;;47-2082;Tapers
345.;0.62;;47-2151;Pipelayers
346.;0.63;;19-2042;Geoscientists, except hydrologists and geographers
347.;0.63;;49-9012;Control and valve installers and repairers, except mechanical door
348.;0.63;;31-9799;Healthcare support workers, all other
349.;0.63;;35-1012;First-line supervisors of food preparation and serving workers
350.;0.63;;47-4011;Construction and building inspectors
351.;0.64;;51-9031;Cutters and trimmers, hand
352.;0.64;;49-9071;Maintenance and repair workers, general
353.;0.64;;23-1021;Administrative law judges, adjudicators, and hearing officers
354.;0.64;;43-5081;Stock clerks and order fillers
355.;0.64;;51-8012;Power distributors and dispatchers
356.;0.64;;47-2132;Insulation workers, mechanical
357.;0.65;;19-4061;Social science research assistants
358.;0.65;;51-4041;Machinists
359.;0.65;;15-1150;Computer support specialists
360.;0.65;;25-4021;Librarians
361.;0.65;;49-2097;Electronic home entertainment equipment installers and repairers
362.;0.65;;49-9021;Heating, air conditioning, and refrigeration mechanics and installers
363.;0.65;;53-7041;Hoist and winch operators
364.;0.66;;37-2021;Pest control workers
365.;0.66;;51-9198;Helpers–production workers
366.;0.66;;43-9111;Statistical assistants
367.;0.66;;37-2011;Janitors and cleaners, except maids and housekeeping cleaners
368.;0.66;;49-3051;Motorboat mechanics and service technicians
369.;0.67;;51-9196;Paper goods machine setters, operators, and tenders
370.;0.67;;51-4071;Foundry mold and coremakers
371.;0.67;;19-2021;Atmospheric and space scientists
372.;0.67;1;53-3021;Bus drivers, transit and intercity
373.;0.67;;33-9092;Lifeguards, ski patrol, and other recreational protective service workers
374.;0.67;;49-9041;Industrial machinery mechanics
375.;0.68;;43-5052;Postal service mail carriers
376.;0.68;;47-5071;Roustabouts, oil and gas
377.;0.68;;47-2011;Boilermakers
378.;0.68;;17-3013;Mechanical drafters
379.;0.68;;29-2021;Dental hygienists
380.;0.69;1;53-3033;Light truck or delivery services drivers
381.;0.69;0;37-2012;Maids and housekeeping cleaners
382.;0.69;;51-9122;Painters, transportation equipment
383.;0.7;;43-4061;Eligibility interviewers, government programs
384.;0.7;;49-3093;Tire repairers and changers
385.;0.7;;51-3092;Food batchmakers
386.;0.7;;49-2091;Avionics technicians
387.;0.71;;49-3011;Aircraft mechanics and service technicians
388.;0.71;;53-2022;Airfield operations specialists
389.;0.71;;51-8093;Petroleum pump system operators, refinery operators, and gaugers
390.;0.71;;47-4799;Construction and related workers, all other
391.;0.71;;29-2081;Opticians, dispensing
392.;0.71;;51-6011;Laundry and dry-cleaning workers
393.;0.72;;39-3091;Amusement and recreation attendants
394.;0.72;;31-9095;Pharmacy aides
395.;0.72;;47-3016;Helpers–roofers
396.;0.72;;53-7121;Tank car, truck, and ship loaders
397.;0.72;;49-9031;Home appliance repairers
398.;0.72;;47-2031;Carpenters
399.;0.72;;27-3012;Public address system and other announcers
400.;0.73;;51-6063;Textile knitting and weaving machine setters, operators, and tenders
401.;0.73;;11-3011;Administrative services managers
402.;0.73;;47-2121;Glaziers
403.;0.73;;51-2021;Coil winders, tapers, and finishers
404.;0.73;;49-3031;Bus and truck mechanics and diesel engine specialists
405.;0.74;;49-2011;Computer, automated teller, and office machine repairers
406.;0.74;;39-9021;Personal care aides
407.;0.74;;27-4012;Broadcast technicians
408.;0.74;;47-3013;Helpers–electricians
409.;0.75;;11-9131;Postmasters and mail superintendents
410.;0.75;;47-2044;Tile and marble setters
411.;0.75;;47-2141;Painters, construction and maintenance
412.;0.75;;53-6061;Transportation attendants, except flight attendants
413.;0.75;1;17-3022;Civil engineering technicians
414.;0.75;;49-3041;Farm equipment mechanics and service technicians
415.;0.76;;25-4011;Archivists
416.;0.76;;51-9011;Chemical equipment operators and tenders
417.;0.76;;49-2092;Electric motor, power tool, and related repairers
418.;0.76;;45-4021;Fallers
419.;0.77;;19-4091;Environmental science and protection technicians, including health
420.;0.77;;49-9094;Locksmiths and safe repairers
421.;0.77;;37-3013;Tree trimmers and pruners
422.;0.77;;35-3011;Bartenders
423.;0.77;;13-1023;Purchasing agents, except wholesale, retail, and farm products
424.;0.77;1;35-9021;Dishwashers
425.;0.77;0;45-3021;Hunters and trappers
426.;0.78;;31-9093;Medical equipment preparers
427.;0.78;;51-4031;Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
428.;0.78;;43-9011;Computer operators
429.;0.78;;51-8092;Gas plant operators
430.;0.79;;43-5053;Postal service mail sorters, processors, and processing machine operators
431.;0.79;;53-3032;Heavy and tractor-trailer truck drivers
432.;0.79;;39-5093;Shampooers
433.;0.79;;47-2081;Drywall and ceiling tile installers
434.;0.79;;49-9098;Helpers–installation, maintenance, and repair workers
435.;0.79;;49-3052;Motorcycle mechanics
436.;0.79;;51-2011;Aircraft structure, surfaces, rigging, and systems assemblers
437.;0.79;;45-4022;Logging equipment operators
438.;0.79;;47-2042;Floor layers, except carpet, wood, and hard tiles
439.;0.8;;39-5011;Barbers
440.;0.8;;47-5011;Derrick operators, oil and gas
441.;0.81;1;35-2011;Cooks, fast food
442.;0.81;;43-9022;Word processors and typists
443.;0.81;1;17-3012;Electrical and electronics drafters
444.;0.81;;17-3024;Electro-mechanical technicians
445.;0.81;;51-9192;Cleaning, washing, and metal pickling equipment operators and tenders
446.;0.81;;11-9141;Property, real estate, and community association managers
447.;0.81;;43-6013;Medical secretaries
448.;0.81;;51-6021;Pressers, textile, garment, and related materials
449.;0.82;;51-2031;Engine and other machine assemblers
450.;0.82;;49-2098;Security and fire alarm systems installers
451.;0.82;;49-9045;Refractory materials repairers, except brickmasons
452.;0.82;;39-2021;Nonfarm animal caretakers
453.;0.82;1;47-2211;Sheet metal workers
454.;0.82;;47-2072;Pile-driver operators
455.;0.82;;47-2021;Brickmasons and blockmasons
456.;0.83;;45-3011;Fishers and related fishing workers
457.;0.83;;47-2221;Structural iron and steel workers
458.;0.83;;53-4021;Railroad brake, signal, and switch operators
459.;0.83;;53-4031;Railroad conductors and yardmasters
460.;0.83;;35-2012;Cooks, institution and cafeteria
461.;0.83;;53-5011;Sailors and marine oilers
462.;0.83;;51-9023;Mixing and blending machine setters, operators, and tenders
463.;0.83;;47-3011;Helpers–brickmasons, blockmasons, stonemasons, and tile and marble setters
464.;0.83;;47-4091;Segmental pavers
465.;0.83;;47-2131;Insulation workers, floor, ceiling, and wall
466.;0.83;;51-5112;Printing press operators
467.;0.83;;53-6031;Automotive and watercraft service attendants
468.;0.83;;47-4071;Septic tank servicers and sewer pipe cleaners
469.;0.83;;39-6011;Baggage porters and bellhops
470.;0.83;;41-2012;Gaming change persons and booth cashiers
471.;0.83;;51-4023;Rolling machine setters, operators, and tenders, metal and plastic
472.;0.83;;47-2071;Paving, surfacing, and tamping equipment operators
473.;0.84;;51-4111;Tool and die makers
474.;0.84;;17-3023;Electrical and electronics engineering technicians
475.;0.84;;47-2161;Plasterers and stucco masons
476.;0.84;;51-4192;Layout workers, metal and plastic
477.;0.84;;51-4034;Lathe and turning machine tool setters, operators, and tenders, metal and plastic
478.;0.84;;33-9032;Security guards
479.;0.84;;51-6052;Tailors, dressmakers, and custom sewers
480.;0.84;;53-7073;Wellhead pumpers
481.;0.84;;43-9081;Proofreaders and copy markers
482.;0.84;;33-3041;Parking enforcement workers
483.;0.85;;53-7062;Labourers and freight, stock, and material movers, hand
484.;0.85;;41-4012;Sales representatives, wholesale and manufacturing, except technical and scientific products
485.;0.85;1;43-5041;Meter readers, utilities
486.;0.85;;51-8013;Power plant operators
487.;0.85;;51-8091;Chemical plant and system operators
488.;0.85;;47-5021;Earth drillers, except oil and gas
489.;0.85;;19-4051;Nuclear technicians
490.;0.86;;43-6011;Executive secretaries and executive administrative assistants
491.;0.86;;51-8099;Plant and system operators, all other
492.;0.86;;35-3041;Food servers, nonrestaurant
493.;0.86;;51-7041;Sawing machine setters, operators, and tenders, wood
494.;0.86;;53-4041;Subway and streetcar operators
495.;0.86;;31-9096;Veterinary assistants and laboratory animal caretakers
496.;0.86;;51-9032;Cutting and slicing machine setters, operators, and tenders
497.;0.86;;41-9022;Real estate sales agents
498.;0.86;1;51-4011;Computer-controlled machine tool operators, metal and plastic
499.;0.86;;49-9043;Maintenance workers, machinery
500.;0.86;;43-4021;Correspondence clerks
501.;0.87;;45-2090;Miscellaneous agricultural workers
502.;0.87;;45-4011;Forest and conservation workers
503.;0.87;;51-4052;Pourers and casters, metal
504.;0.87;;47-2041;Carpet Installers
505.;0.87;;47-2142;Paperhangers
506.;0.87;;13-1021;Buyers and purchasing agents, farm products
507.;0.87;;51-7021;Furniture Finishers
508.;0.87;;35-2021;Food preparation workers
509.;0.87;;47-2043;Floor sanders and finishers
510.;0.87;1;53-6021;Parking lot attendants
511.;0.87;;47-4051;Highway maintenance workers
512.;0.88;;47-2061;Construction labourers
513.;0.88;;43-5061;Production, planning, and expediting clerks
514.;0.88;;51-9141;Semiconductor Processors
515.;0.88;;17-1021;Cartographers and photogrammetrists
516.;0.88;;51-4051;Metal-refining furnace operators and tenders
517.;0.88;;51-9012;Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders
518.;0.88;;51-6091;Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
519.;0.88;;47-2053;Terrazzo workers and finishers
520.;0.88;;51-4194;Tool grinders, filers, and sharpeners
521.;0.88;;49-3043;Rail car repairers
522.;0.89;;51-3011;Bakers
523.;0.89;1;31-9094;Medical transcriptionists
524.;0.89;;47-2022;Stonemasons
525.;0.89;;53-3022;Bus drivers, school or special client
526.;0.89;1;27-3042;Technical writers
527.;0.89;;49-9096;Riggers
528.;0.89;;47-4061;Rail-track laying and maintenance equipment operators
529.;0.89;;51-8021;Stationary engineers and boiler operators
530.;0.89;1;51-6031;Sewing machine operators
531.;0.89;1;53-3041;Taxi drivers and chauffeurs
532.;0.9;1;43-4161;Human resources assistants, except payroll and timekeeping
533.;0.9;;29-2011;Medical and clinical laboratory technologists
534.;0.9;;47-2171;Reinforcing iron and rebar workers
535.;0.9;;47-2181;Roofers
536.;0.9;;53-7021;Crane and tower operators
537.;0.9;;53-6041;Traffic technicians
538.;0.9;;53-6051;Transportation inspectors
539.;0.9;;51-4062;Patternmakers, metal and plastic
540.;0.9;;51-9195;Molders, shapers, and casters, except metal and plastic
541.;0.9;;13-2021;Appraisers and assessors of real estate
542.;0.9;;53-7072;Pump operators, except wellhead pumpers
543.;0.9;;49-9097;Signal and track switch repairers
544.;0.91;;39-3012;Gaming and sports book writers and runners
545.;0.91;;49-9063;Musical instrument repairers and tuners
546.;0.91;;39-7011;Tour guides and escorts
547.;0.91;;49-9011;Mechanical door repairers
548.;0.91;;51-3091;Food and tobacco roasting, baking, and drying machine operators and tenders
549.;0.91;;53-7071;Gas compressor and gas pumping station operators
550.;0.91;;29-2071;Medical records and health information technicians
551.;0.91;;51-9121;Coating, painting, and spraying machine setters, operators, and tenders
552.;0.91;;51-4081;Multiple machine tool setters, operators, and tenders, metal and plastic
553.;0.91;;53-4013;Rail yard engineers, dinkey operators, and hostlers
554.;0.91;;49-2093;Electrical and electronics installers and repairers, transportation equipment
555.;0.91;;35-9011;Dining room and cafeteria attendants and bartender helpers
