,date,u_sa,u_trend,sa_vac,na_vac,e_sa,e_trend,recession,gap_change,sa_vac_rate
44,2015Q1,7.7,7.72,77348,92324,4810600,4810740,1,-0.48387098544244467,1.5823774040074565
45,2015Q2,7.6,7.49,79537,90430,4815000,4825820,1,-0.5911451870492347,1.6214314269073586
46,2015Q3,7.1,7.24,85741,70964,4851400,4847610,0,-2.599863543307089,1.737987019370809
47,2015Q4,7.1,7.09,93436,81056,4871200,4869230,0,0.8022761437316973,1.8827783292286848
48,2016Q1,7.1,7.03,94838,111752,4879400,4885950,0,-0.22962226228080815,1.9040762224772465
49,2016Q2,6.9,6.96,96755,107951,4911800,4898500,0,-0.43847074906511163,1.9369381543084387
50,2016Q3,6.8,6.89,99220,83466,4903900,4917590,0,-0.09807427572980199,1.977750801804334
51,2016Q4,6.9,6.82,106052,92201,4946200,4946880,0,0.2197681324823684,2.0988210409322745
52,2017Q1,6.7,6.77,108648,127413,4990100,4981000,0,-0.3925441331123343,2.13468593505877
53,2017Q2,6.7,6.72,109136,120983,5009300,5011040,0,2.170210135259411,2.1314892300577166
54,2017Q3,6.7,6.64,114174,97724,5037600,5034600,0,0.6939889067968144,2.217498767667798
55,2017Q4,6.5,6.47,117079,101456,5049900,5057370,0,-0.19954152888384036,2.262637045992723
56,2018Q1,6.2,6.31,120431,140586,5080600,5078690,0,0.19777628222250698,2.316372325244979
57,2018Q2,6.3,6.26,120501,133526,5095400,5093580,0,0.10542393756171649,2.3110688153866423
58,2018Q3,6.4,6.33,120592,103403,5096900,5102530,0,-0.6334028046713897,2.308810707465765
59,2018Q4,6.4,6.46,120861,103726,5114500,5108280,0,1.2245537876539494,2.3112974004717026
60,2019Q1,6.8,6.62,122679,143769,5115800,5113630,0,-0.35806204180666945,2.3428525703887986
61,2019Q2,6.5,6.77,122679,136739,5121300,5121390,0,-0.31907040317471785,2.339385694581822
62,2019Q3,6.9,6.85,116940,99187,5134000,5133770,0,-0.19431987094997727,2.2271273789639876
63,2019Q4,6.8,6.86,114620,96569,5152500,5150320,0,-0.6575389960688414,2.1770428532898762
