"Alder"	"arbetskraftstillhorighet"	"kvartal"	"totalt Procent"	"totalt Felmarginal , procent"
"totalt 16-64 Ar"	"arbetslosa"	"1997Q3"	10.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1997Q4"	9.7	..
"totalt 16-64 Ar"	"arbetslosa"	"1998Q1"	9.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1998Q2"	10.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1998Q3"	8.9	..
"totalt 16-64 Ar"	"arbetslosa"	"1998Q4"	8.2	..
"totalt 16-64 Ar"	"arbetslosa"	"1999Q1"	8.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1999Q2"	8.5	..
"totalt 16-64 Ar"	"arbetslosa"	"1999Q3"	7.6	..
"totalt 16-64 Ar"	"arbetslosa"	"1999Q4"	7.1	..
"totalt 16-64 Ar"	"arbetslosa"	"2000Q1"	7.4	..
"totalt 16-64 Ar"	"arbetslosa"	"2000Q2"	7.3	..
"totalt 16-64 Ar"	"arbetslosa"	"2000Q3"	6.2	..
"totalt 16-64 Ar"	"arbetslosa"	"2000Q4"	5.7	..
"totalt 16-64 Ar"	"arbetslosa"	"2001Q1"	6.2	..
"totalt 16-64 Ar"	"arbetslosa"	"2001Q2"	6.2	..
"totalt 16-64 Ar"	"arbetslosa"	"2001Q3"	5.5	..
"totalt 16-64 Ar"	"arbetslosa"	"2001Q4"	5.5	..
"totalt 16-64 Ar"	"arbetslosa"	"2002Q1"	6.2	..
"totalt 16-64 Ar"	"arbetslosa"	"2002Q2"	6.4	..
"totalt 16-64 Ar"	"arbetslosa"	"2002Q3"	5.6	..
"totalt 16-64 Ar"	"arbetslosa"	"2002Q4"	5.7	..
"totalt 16-64 Ar"	"arbetslosa"	"2003Q1"	6.7	..
"totalt 16-64 Ar"	"arbetslosa"	"2003Q2"	7.0	..
"totalt 16-64 Ar"	"arbetslosa"	"2003Q3"	6.2	..
"totalt 16-64 Ar"	"arbetslosa"	"2003Q4"	6.7	..
"totalt 16-64 Ar"	"arbetslosa"	"2004Q1"	7.7	..
"totalt 16-64 Ar"	"arbetslosa"	"2004Q2"	8.1	..
"totalt 16-64 Ar"	"arbetslosa"	"2004Q3"	7.1	..
"totalt 16-64 Ar"	"arbetslosa"	"2004Q4"	6.9	..
"totalt 16-64 Ar"	"arbetslosa"	"2005Q1"	7.8	..
"totalt 16-64 Ar"	"arbetslosa"	"2005Q2"	8.6	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2005Q3"	7.2	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2005Q4"	7.1	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2006Q1"	7.8	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2006Q2"	8.0	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2006Q3"	6.4	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2006Q4"	6.1	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2007Q1"	6.8	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2007Q2"	6.9	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2007Q3"	5.5	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2007Q4"	5.5	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2008Q1"	6.2	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2008Q2"	6.6	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2008Q3"	5.6	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2008Q4"	6.2	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2009Q1"	7.9	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2009Q2"	9.2	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2009Q3"	8.1	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2009Q4"	8.4	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2010Q1"	9.5	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2010Q2"	9.5	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2010Q3"	8.0	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2010Q4"	7.7	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2011Q1"	8.4	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2011Q2"	8.6	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2011Q3"	7.1	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2011Q4"	7.3	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2012Q1"	8.3	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2012Q2"	8.5	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2012Q3"	7.6	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2012Q4"	7.8	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2013Q1"	8.7	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2013Q2"	8.8	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2013Q3"	7.4	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2013Q4"	7.6	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2014Q1"	8.7	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2014Q2"	8.7	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2014Q3"	7.3	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2014Q4"	7.4	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2015Q1"	8.4	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2015Q2"	8.4	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2015Q3"	6.6	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2015Q4"	6.7	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2016Q1"	7.7	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2016Q2"	7.5	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2016Q3"	6.4	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2016Q4"	6.5	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2017Q1"	7.2	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2017Q2"	7.3	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2017Q3"	6.2	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2017Q4"	6.1	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2018Q1"	6.7	0.2
"totalt 16-64 Ar"	"arbetslosa"	"2018Q2"	6.9	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2018Q3"	5.9	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2018Q4"	6.0	0.3
"totalt 16-64 Ar"	"arbetslosa"	"2019Q1"	7.3	0.4
"totalt 16-64 Ar"	"arbetslosa"	"2019Q2"	7.1	0.4
"totalt 16-64 Ar"	"arbetslosa"	"2019Q3"	6.6	0.4
"totalt 16-64 Ar"	"arbetslosa"	"2019Q4"	6.4	0.4
